full_name,email,country,political_group,national_party,id,profile_url
Romana JERKOVIĆ,romana.jerkovic@europarl.europa.eu,HRV,S&D,org/6735,112747,https://www.europarl.europa.eu/meps/en/112747
Marlena MALĄG,marlena.malag@europarl.europa.eu,POL,ECR,org/6702,257077,https://www.europarl.europa.eu/meps/en/257077
Thijs REUTEN,thijs.reuten@europarl.europa.eu,NLD,S&D,org/7952,218347,https://www.europarl.europa.eu/meps/en/218347
Joachim STREIT,joachim.streit@europarl.europa.eu,DEU,Renew,org/6807,256962,https://www.europarl.europa.eu/meps/en/256962
Niels Flemming HANSEN,niels.hansen@europarl.europa.eu,DNK,EPP,org/6779,257033,https://www.europarl.europa.eu/meps/en/257033
César LUENA,cesar.luena@europarl.europa.eu,ESP,S&D,org/6667,197721,https://www.europarl.europa.eu/meps/en/197721
Catarina MARTINS,catarina.martins@europarl.europa.eu,PRT,The Left,org/6707,257063,https://www.europarl.europa.eu/meps/en/257063
Branislav ONDRUŠ,branislav.ondrus@europarl.europa.eu,SVK,NI,org/7010,257018,https://www.europarl.europa.eu/meps/en/257018
Marco TARQUINIO,marco.tarquinio@europarl.europa.eu,ITA,S&D,org/6675,257160,https://www.europarl.europa.eu/meps/en/257160
Bruno TOBBACK,bruno.tobback@europarl.europa.eu,BEL,S&D,org/6912,256885,https://www.europarl.europa.eu/meps/en/256885
Erik KALIŇÁK,erik.kalinak@europarl.europa.eu,SVK,NI,org/6723,257007,https://www.europarl.europa.eu/meps/en/257007
Ľubica KARVAŠOVÁ,lubica.karvasova@europarl.europa.eu,SVK,Renew,org/6874,257013,https://www.europarl.europa.eu/meps/en/257013
Eleonora MELETI,eleonora.meleti@europarl.europa.eu,GRC,EPP,org/6730,256943,https://www.europarl.europa.eu/meps/en/256943
Petr BYSTRON,petr.bystron@europarl.europa.eu,DEU,ESN,org/6802,256928,https://www.europarl.europa.eu/meps/en/256928
Reinier VAN LANSCHOT,reinier.vanlanschot@europarl.europa.eu,NLD,Greens/EFA,org/6638,256978,https://www.europarl.europa.eu/meps/en/256978
Séverine WERBROUCK,severine.werbrouck@europarl.europa.eu,FRA,PfE,org/6848,261796,https://www.europarl.europa.eu/meps/en/261796
Matthieu VALET,matthieu.valet@europarl.europa.eu,FRA,PfE,org/6848,256875,https://www.europarl.europa.eu/meps/en/256875
Markus BUCHHEIT,markus.buchheit@europarl.europa.eu,DEU,ESN,org/6802,128483,https://www.europarl.europa.eu/meps/en/128483
Gabriele BISCHOFF,gabriele.bischoff@europarl.europa.eu,DEU,S&D,org/6772,197435,https://www.europarl.europa.eu/meps/en/197435
Laura BALLARÍN CEREZA,laura.ballarincereza@europarl.europa.eu,ESP,S&D,org/6667,247735,https://www.europarl.europa.eu/meps/en/247735
Beatrice TIMGREN,beatrice.timgren@europarl.europa.eu,SWE,ECR,org/6810,257090,https://www.europarl.europa.eu/meps/en/257090
Nicola PROCACCINI,nicola.procaccini@europarl.europa.eu,ITA,ECR,org/6831,197820,https://www.europarl.europa.eu/meps/en/197820
Andi CRISTEA,andi.cristea@europarl.europa.eu,ROU,S&D,org/6708,40224,https://www.europarl.europa.eu/meps/en/40224
Philippe OLIVIER,philippe.olivier@europarl.europa.eu,FRA,PfE,org/6848,197687,https://www.europarl.europa.eu/meps/en/197687
Sebastiaan STÖTELER,sebastiaan.stoteler@europarl.europa.eu,NLD,,,256991,https://www.europarl.europa.eu/meps/en/256991
Esteban GONZÁLEZ PONS,esteban.gonzalezpons@europarl.europa.eu,ESP,EPP,org/6666,125027,https://www.europarl.europa.eu/meps/en/125027
Ana Miguel PEDRO,anamiguel.pedro@europarl.europa.eu,PRT,EPP,org/6879,110673,https://www.europarl.europa.eu/meps/en/110673
Mélissa CAMARA,melissa.camara@europarl.europa.eu,FRA,Greens/EFA,org/6953,256915,https://www.europarl.europa.eu/meps/en/256915
Ştefan MUŞOIU,stefan.musoiu@europarl.europa.eu,ROU,S&D,org/6708,257103,https://www.europarl.europa.eu/meps/en/257103
Maria GRAPINI,maria.grapini@europarl.europa.eu,ROU,S&D,org/6906,124785,https://www.europarl.europa.eu/meps/en/124785
Thomas PELLERIN-CARLIN,thomas.pellerin-carlin@europarl.europa.eu,FRA,S&D,org/6785,256903,https://www.europarl.europa.eu/meps/en/256903
Jadwiga WIŚNIEWSKA,jadwiga.wisniewska@europarl.europa.eu,POL,ECR,org/6702,124877,https://www.europarl.europa.eu/meps/en/124877
Urmas PAET,urmas.paet@europarl.europa.eu,EST,Renew,org/6664,129073,https://www.europarl.europa.eu/meps/en/129073
Mirosława NYKIEL,miroslawa.nykiel@europarl.europa.eu,POL,EPP,org/6703,257049,https://www.europarl.europa.eu/meps/en/257049
Cristian TERHEŞ,cristian.terhes@europarl.europa.eu,ROU,ECR,org/6914,197655,https://www.europarl.europa.eu/meps/en/197655
Damian BOESELAGER,damian.boeselager@europarl.europa.eu,DEU,Greens/EFA,org/6859,197439,https://www.europarl.europa.eu/meps/en/197439
Rasa JUKNEVIČIENĖ,rasa.jukneviciene@europarl.europa.eu,LTU,EPP,org/6678,197840,https://www.europarl.europa.eu/meps/en/197840
Fulvio MARTUSCIELLO,fulvio.martusciello@europarl.europa.eu,ITA,EPP,org/6744,124828,https://www.europarl.europa.eu/meps/en/124828
Marcin SYPNIEWSKI,marcin.sypniewski@europarl.europa.eu,POL,ESN,org/6856,257070,https://www.europarl.europa.eu/meps/en/257070
Elio DI RUPO,elio.dirupo@europarl.europa.eu,BEL,S&D,org/6758,1294,https://www.europarl.europa.eu/meps/en/1294
Marc ANGEL,marc.angel@europarl.europa.eu,LUX,S&D,org/6681,202073,https://www.europarl.europa.eu/meps/en/202073
Elena SANCHO MURILLO,elena.sanchomurillo@europarl.europa.eu,ESP,S&D,org/6667,257001,https://www.europarl.europa.eu/meps/en/257001
Antonín STANĚK,antonin.stanek@europarl.europa.eu,CZE,PfE,org/7033,272024,https://www.europarl.europa.eu/meps/en/272024
Tomas TOBÉ,tomas.tobe@europarl.europa.eu,SWE,EPP,org/6713,197402,https://www.europarl.europa.eu/meps/en/197402
Matthias ECKE,matthias.ecke@europarl.europa.eu,DEU,S&D,org/6772,237465,https://www.europarl.europa.eu/meps/en/237465
Sergey LAGODINSKY,sergey.lagodinsky@europarl.europa.eu,DEU,Greens/EFA,org/6773,197460,https://www.europarl.europa.eu/meps/en/197460
Veronika VRECIONOVÁ,veronika.vrecionova@europarl.europa.eu,CZE,ECR,org/6768,197552,https://www.europarl.europa.eu/meps/en/197552
Ivars IJABS,ivars.ijabs@europarl.europa.eu,LVA,Renew,org/6791,197624,https://www.europarl.europa.eu/meps/en/197624
Rosa SERRANO SIERRA,rosa.serranosierra@europarl.europa.eu,ESP,S&D,org/6667,256999,https://www.europarl.europa.eu/meps/en/256999
Hélder SOUSA SILVA,helder.sousasilva@europarl.europa.eu,PRT,EPP,org/6705,257068,https://www.europarl.europa.eu/meps/en/257068
Maria NOICHL,maria.noichl@europarl.europa.eu,DEU,S&D,org/6772,124836,https://www.europarl.europa.eu/meps/en/124836
Michał SZCZERBA,michal.szczerba@europarl.europa.eu,POL,EPP,org/6703,257026,https://www.europarl.europa.eu/meps/en/257026
Claudiu-Richard TÂRZIU,claudiu-richard.tarziu@europarl.europa.eu,ROU,ECR,org/7962,257114,https://www.europarl.europa.eu/meps/en/257114
Andrzej HALICKI,andrzej.halicki@europarl.europa.eu,POL,EPP,org/6703,197514,https://www.europarl.europa.eu/meps/en/197514
Kristoffer STORM,kristoffer.storm@europarl.europa.eu,DNK,ECR,org/6637,257025,https://www.europarl.europa.eu/meps/en/257025
Isabel BENJUMEA BENJUMEA,isabel.benjumea@europarl.europa.eu,ESP,EPP,org/6666,197679,https://www.europarl.europa.eu/meps/en/197679
Oihane AGIRREGOITIA MARTÍNEZ,oihane.agirregoitiamartinez@europarl.europa.eu,ESP,Renew,org/6820,256987,https://www.europarl.europa.eu/meps/en/256987
Sophia KIRCHER,sophia.kircher@europarl.europa.eu,AUT,EPP,org/6745,256831,https://www.europarl.europa.eu/meps/en/256831
Grzegorz BRAUN,grzegorz.braun@europarl.europa.eu,POL,NI,org/7029,257067,https://www.europarl.europa.eu/meps/en/257067
Emmanouil KEFALOGIANNIS,emmanouil.kefalogiannis@europarl.europa.eu,GRC,EPP,org/6730,125068,https://www.europarl.europa.eu/meps/en/125068
Caterina CHINNICI,caterina.chinnici@europarl.europa.eu,ITA,EPP,org/6744,124861,https://www.europarl.europa.eu/meps/en/124861
Bart GROOTHUIS,bart.groothuis@europarl.europa.eu,NLD,Renew,org/6691,197780,https://www.europarl.europa.eu/meps/en/197780
François KALFON,francois.kalfon@europarl.europa.eu,FRA,S&D,org/6728,256908,https://www.europarl.europa.eu/meps/en/256908
André FRANQUEIRA RODRIGUES,andre.franqueirarodrigues@europarl.europa.eu,PRT,S&D,org/6706,257066,https://www.europarl.europa.eu/meps/en/257066
Francesco TORSELLI,francesco.torselli@europarl.europa.eu,ITA,ECR,org/6831,257163,https://www.europarl.europa.eu/meps/en/257163
Sander SMIT,sander.smit@europarl.europa.eu,NLD,EPP,org/6851,125325,https://www.europarl.europa.eu/meps/en/125325
Marieke EHLERS,marieke.ehlers@europarl.europa.eu,NLD,PfE,org/6696,192254,https://www.europarl.europa.eu/meps/en/192254
Paolo INSELVINI,paolo.inselvini@europarl.europa.eu,ITA,ECR,org/6831,257144,https://www.europarl.europa.eu/meps/en/257144
Daniel ATTARD,daniel.attard@europarl.europa.eu,MLT,S&D,org/6689,256934,https://www.europarl.europa.eu/meps/en/256934
Stephen Nikola BARTULICA,stephennikola.bartulica@europarl.europa.eu,HRV,ECR,org/7872,257000,https://www.europarl.europa.eu/meps/en/257000
Marc JONGEN,marc.jongen@europarl.europa.eu,DEU,ESN,org/6802,256942,https://www.europarl.europa.eu/meps/en/256942
Alice TEODORESCU MÅWE,alice.teodorescumawe@europarl.europa.eu,SWE,EPP,org/6714,257089,https://www.europarl.europa.eu/meps/en/257089
Jens GEIER,jens.geier@europarl.europa.eu,DEU,S&D,org/6772,96833,https://www.europarl.europa.eu/meps/en/96833
Marina MESURE,marina.mesure@europarl.europa.eu,FRA,The Left,org/6878,236053,https://www.europarl.europa.eu/meps/en/236053
Céline IMART,celine.imart@europarl.europa.eu,FRA,EPP,org/6827,256918,https://www.europarl.europa.eu/meps/en/256918
Georg MAYER,georg.mayer@europarl.europa.eu,AUT,PfE,org/6747,38511,https://www.europarl.europa.eu/meps/en/38511
Susana SOLÍS PÉREZ,susana.solisperez@europarl.europa.eu,ESP,EPP,org/6666,197784,https://www.europarl.europa.eu/meps/en/197784
Javier MORENO SÁNCHEZ,javier.morenosanchez@europarl.europa.eu,ESP,S&D,org/6667,28347,https://www.europarl.europa.eu/meps/en/28347
Ralf SEEKATZ,ralf.seekatz@europarl.europa.eu,DEU,EPP,org/6771,197425,https://www.europarl.europa.eu/meps/en/197425
João COTRIM DE FIGUEIREDO,joao.cotrim@europarl.europa.eu,PRT,Renew,org/6641,257057,https://www.europarl.europa.eu/meps/en/257057
Benedetta SCUDERI,benedetta.scuderi@europarl.europa.eu,ITA,Greens/EFA,org/6896,257139,https://www.europarl.europa.eu/meps/en/257139
Barry ANDREWS,barry.andrews@europarl.europa.eu,IRL,Renew,org/6741,204332,https://www.europarl.europa.eu/meps/en/204332
Stanislav STOYANOV,stanislav.stoyanov@europarl.europa.eu,BGR,ESN,org/6648,257255,https://www.europarl.europa.eu/meps/en/257255
Markéta GREGOROVÁ,marketa.gregorova@europarl.europa.eu,CZE,Greens/EFA,org/6862,197549,https://www.europarl.europa.eu/meps/en/197549
Bruno GONÇALVES,bruno.goncalves@europarl.europa.eu,PRT,S&D,org/6706,257059,https://www.europarl.europa.eu/meps/en/257059
Waldemar BUDA,waldemar.buda@europarl.europa.eu,POL,ECR,org/6702,99878,https://www.europarl.europa.eu/meps/en/99878
Bert-Jan RUISSEN,bert-jan.ruissen@europarl.europa.eu,NLD,ECR,org/6699,197773,https://www.europarl.europa.eu/meps/en/197773
Reinis POZŅAKS,reinis.poznaks@europarl.europa.eu,LVA,ECR,org/6655,256907,https://www.europarl.europa.eu/meps/en/256907
Juan Ignacio ZOIDO ÁLVAREZ,juanignacio.zoidoalvarez@europarl.europa.eu,ESP,EPP,org/6666,197621,https://www.europarl.europa.eu/meps/en/197621
Nikolina BRNJAC,nikolina.brnjac@europarl.europa.eu,HRV,EPP,org/6734,204129,https://www.europarl.europa.eu/meps/en/204129
Sunčana GLAVAK,suncana.glavak@europarl.europa.eu,HRV,EPP,org/6734,202036,https://www.europarl.europa.eu/meps/en/202036
Christine ANDERSON,christine.anderson@europarl.europa.eu,DEU,ESN,org/6802,197475,https://www.europarl.europa.eu/meps/en/197475
Virginijus SINKEVIČIUS,virginijus.sinkevicius@europarl.europa.eu,LTU,Greens/EFA,org/6656,201945,https://www.europarl.europa.eu/meps/en/201945
Ana Catarina MENDES,anacatarina.mendes@europarl.europa.eu,PRT,S&D,org/6706,257053,https://www.europarl.europa.eu/meps/en/257053
Jana TOOM,jana.toom@europarl.europa.eu,EST,Renew,org/6792,124700,https://www.europarl.europa.eu/meps/en/124700
Eero HEINÄLUOMA,eero.heinaluoma@europarl.europa.eu,FIN,S&D,org/6672,197800,https://www.europarl.europa.eu/meps/en/197800
Nikola BARTŮŠEK,nikola.bartusek@europarl.europa.eu,CZE,NI,org/7033,256852,https://www.europarl.europa.eu/meps/en/256852
António TÂNGER CORRÊA,antonio.tangercorrea@europarl.europa.eu,PRT,PfE,org/6927,257050,https://www.europarl.europa.eu/meps/en/257050
Mihai TUDOSE,mihai.tudose@europarl.europa.eu,ROU,S&D,org/6708,198183,https://www.europarl.europa.eu/meps/en/198183
Elisabetta GUALMINI,elisabetta.gualmini@europarl.europa.eu,ITA,S&D,org/6675,197618,https://www.europarl.europa.eu/meps/en/197618
Mario FURORE,mario.furore@europarl.europa.eu,ITA,The Left,org/6674,197795,https://www.europarl.europa.eu/meps/en/197795
Sebastião BUGALHO,sebastiao.bugalho@europarl.europa.eu,PRT,EPP,org/6705,257081,https://www.europarl.europa.eu/meps/en/257081
Stefan BERGER,stefan.berger@europarl.europa.eu,DEU,EPP,org/6771,197410,https://www.europarl.europa.eu/meps/en/197410
Isabelle LE CALLENNEC,isabelle.lecallennec@europarl.europa.eu,FRA,EPP,org/6827,256920,https://www.europarl.europa.eu/meps/en/256920
Tiago MOREIRA DE SÁ,tiago.damotaveigamoreiradesa@europarl.europa.eu,PRT,PfE,org/6927,257054,https://www.europarl.europa.eu/meps/en/257054
Michał DWORCZYK,michal.dworczyk@europarl.europa.eu,POL,ECR,org/6702,257076,https://www.europarl.europa.eu/meps/en/257076
Tom VANDENDRIESSCHE,tom.vandendriessche@europarl.europa.eu,BEL,PfE,org/6751,185771,https://www.europarl.europa.eu/meps/en/185771
Majdouline SBAI,majdouline.sbai@europarl.europa.eu,FRA,Greens/EFA,org/6953,256917,https://www.europarl.europa.eu/meps/en/256917
Iratxe GARCÍA PÉREZ,iratxe.garcia-perez@europarl.europa.eu,ESP,S&D,org/6667,28298,https://www.europarl.europa.eu/meps/en/28298
Carlo CICCIOLI,carlo.ciccioli@europarl.europa.eu,ITA,ECR,org/6831,257093,https://www.europarl.europa.eu/meps/en/257093
Csaba MOLNÁR,csaba.molnar@europarl.europa.eu,HUN,S&D,org/6724,124722,https://www.europarl.europa.eu/meps/en/124722
Nina CARBERRY,nina.carberry@europarl.europa.eu,IRL,EPP,org/6742,257296,https://www.europarl.europa.eu/meps/en/257296
Maria ZACHARIA,maria.zacharia@europarl.europa.eu,GRC,NI,org/7012,256955,https://www.europarl.europa.eu/meps/en/256955
Ondřej KRUTÍLEK,ondrej.krutilek@europarl.europa.eu,CZE,ECR,org/6768,256845,https://www.europarl.europa.eu/meps/en/256845
Adnan DIBRANI,adnan.dibrani@europarl.europa.eu,SWE,S&D,org/6712,257087,https://www.europarl.europa.eu/meps/en/257087
Klara DOSTALOVA,klara.dostalova@europarl.europa.eu,CZE,PfE,org/6794,256853,https://www.europarl.europa.eu/meps/en/256853
Kim VAN SPARRENTAK,kim.vansparrentak@europarl.europa.eu,NLD,Greens/EFA,org/7952,197870,https://www.europarl.europa.eu/meps/en/197870
Denis NESCI,denis.nesci@europarl.europa.eu,ITA,ECR,org/6831,239260,https://www.europarl.europa.eu/meps/en/239260
Lukas SIEPER,lukas.sieper@europarl.europa.eu,DEU,NI,org/7026,256971,https://www.europarl.europa.eu/meps/en/256971
Giorgos GEORGIOU,giorgos.georgiou@europarl.europa.eu,CYP,The Left,org/6765,197416,https://www.europarl.europa.eu/meps/en/197416
Carlo FIDANZA,carlo.fidanza@europarl.europa.eu,ITA,ECR,org/6831,96810,https://www.europarl.europa.eu/meps/en/96810
Kostas PAPADAKIS,kostas.papadakis@europarl.europa.eu,GRC,NI,org/6733,125093,https://www.europarl.europa.eu/meps/en/125093
Ernő SCHALLER-BAROSS,erno.schaller-baross@europarl.europa.eu,HUN,PfE,NI,213330,https://www.europarl.europa.eu/meps/en/213330
Dirk GOTINK,dirk.gotink@europarl.europa.eu,NLD,EPP,org/6639,97399,https://www.europarl.europa.eu/meps/en/97399
Jean-Paul GARRAUD,jean-paul.garraud@europarl.europa.eu,FRA,PfE,org/6848,197628,https://www.europarl.europa.eu/meps/en/197628
Hermann TERTSCH,hermann.tertsch@europarl.europa.eu,ESP,PfE,org/6871,197831,https://www.europarl.europa.eu/meps/en/197831
Janusz LEWANDOWSKI,janusz.lewandowski@europarl.europa.eu,POL,EPP,org/6703,23781,https://www.europarl.europa.eu/meps/en/23781
Dan NICA,dan.nica@europarl.europa.eu,ROU,S&D,org/5320,124784,https://www.europarl.europa.eu/meps/en/124784
